price,brand,model,year,vin,image
25,chevrolet,vehicl,2020,  2gnaxkev6l6128374,https://www.chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2021/crossovers-suvs/traverse/colorizer/01-images/2021-traverse-2lz-g1w-colorizer.jpg?imwidth=960
375,nissan,door,2017,  3n1ce2cp0hl360793,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
500,gmc,door,2018,  1gkknmls5jz177336,https://www.gmc.com/content/dam/gmc/na/us/english/index/shared-assets/jellybeans/2021/sierra/sierra-hd/2021-gmc-sierra-3500-denali-hd-hunter-metallic.jpg?imwidth=960
650,ford,door,2017,  1fadp3k21hl268441,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
725,ford,door,2017,  3fa6p0h75hr150081,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
750,nissan,sentra,2018,  3n1ab7ap3jy312956,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
1700,nissan,note,2019,  3n1ce2cp0kl363331,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
1900,nissan,door,2015,  3n1cn7apxfl814609,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
1950,nissan,door,2015,  3n1ce2cp7fl440279,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
2000,ford,door,2016,  3fa6p0h7xgr182944,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
2200,nissan,door,2015,  3n1cn7apxfl824461,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
2300,nissan,frontier,2019,  1n6ad0ev9kn786557,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
2500,ford,door,2017,  1fmcu9gd2huc27625,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
2500,ford,door,2016,  3fadp4bjxgm137986,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
2630,nissan,doors,2018,  3n1cn7ap5jl872135,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
2630,nissan,doors,2018,  3n1cn7ap5jl882275,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
2700,dodge,door,2015,  1c3cdfaa2fd434311,https://smartcdn.prod.postmedia.digital/driving/wp-content/uploads/2020/05/chrome-image-411876.png
2800,jaguar,doors,2019,  sajbd4fx6kcy78964,https://cars.usnews.com/static/images/Auto/izmo/i159614529/2021_jaguar_xf_angularfront.jpg
2900,nissan,doors,2017,  3n1ab7ap6hy249992,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
2900,ford,door,2015,  3fadp4aj6fm132638,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
3000,nissan,door,2015,  1n4al3ap4fn890836,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3000,nissan,door,2015,  3n1ab7ap5fy313713,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3020,nissan,doors,2017,  3n1ab7ap7hy223787,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3040,nissan,doors,2017,  3n1ab7ap5hy411143,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3140,nissan,doors,2017,  3n1ab7ap1hy310259,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3140,nissan,doors,2017,  3n1ab7ap1hl639346,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3160,ford,doors,2017,  1fadp3e24hl348263,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
3160,nissan,doors,2017,  3n1ab7ap0hy315498,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3160,nissan,doors,2017,  3n1ab7ap0hy260843,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3210,nissan,doors,2017,  3n1ab7apxhy302645,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3210,nissan,doors,2017,  3n1ab7apxhy232807,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3250,hyundai,door,2015,  5npdh4ae3fh644096,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/11q3/409396/new-cars-for-2012-hyundai-full-lineup-info-photo-415474-s-original.jpg
3250,dodge,door,2015,  1c3cdfbb5fd213552,https://smartcdn.prod.postmedia.digital/driving/wp-content/uploads/2020/05/chrome-image-411876.png
3300,chevrolet,door,2015,  1g1pg5sbxf7249436,https://www.chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2021/crossovers-suvs/traverse/colorizer/01-images/2021-traverse-2lz-g1w-colorizer.jpg?imwidth=960
3390,nissan,doors,2018,  3n1ab7ap5jy293102,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3440,ford,door,2015,  1fadp5au3fl108248,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
3440,hyundai,doors,2019,  3kpc24a34ke050725,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/11q3/409396/new-cars-for-2012-hyundai-full-lineup-info-photo-415474-s-original.jpg
3450,ford,door,2015,  1fmcu9gx5fuc13614,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
3500,ford,door,2016,  1fa6p0hd4g5100361,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
3500,nissan,altima,2019,  1n4bl4ev8kc201874,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3500,nissan,door,2015,  3n1ab7apxfy368576,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3500,nissan,door,2016,  1n4al3ap3gn379927,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3500,nissan,sentra,2017,  3n1ab7ap2hy357557,https://s1.cdn.autoevolution.com/images/models/NISSAN_Rogue-2020_main.jpg
3540,ford,door,2017,  3fa6p0g73hr140652,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
