,price,brand,model,year,vin,image
0,6300,toyota,cruiser,2008,  jtezu11f88k007763,https://hips.hearstapps.com/hmg-prod/amv-prod-cad-assets/images/17q3/685272/toyota-for-2018-whats-new-feature-car-and-driver-photo-691011-s-original.jpg
1,2899,ford,se,2011,  2fmdk3gc4bbb02217,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
2,5350,dodge,mpv,2018,  3c4pdcgg5jt346413,https://smartcdn.prod.postmedia.digital/driving/wp-content/uploads/2020/05/chrome-image-411876.png
3,25000,ford,door,2014,  1ftfw1et4efc23745,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
4,27700,chevrolet,1500,2018,  3gcpcrec2jg473991,https://www.chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2021/crossovers-suvs/traverse/colorizer/01-images/2021-traverse-2lz-g1w-colorizer.jpg?imwidth=960
5,5700,dodge,mpv,2018,  2c4rdgeg9jr237989,https://smartcdn.prod.postmedia.digital/driving/wp-content/uploads/2020/05/chrome-image-411876.png
6,7300,chevrolet,pk,2010,  1gcsksea1az121133,https://www.chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2021/crossovers-suvs/traverse/colorizer/01-images/2021-traverse-2lz-g1w-colorizer.jpg?imwidth=960
7,13350,gmc,door,2017,  1gks2gkc3hr326762,https://www.gmc.com/content/dam/gmc/na/us/english/index/shared-assets/jellybeans/2021/sierra/sierra-hd/2021-gmc-sierra-3500-denali-hd-hunter-metallic.jpg?imwidth=960
8,14600,chevrolet,malibu,2018,  1g1zd5st5jf191860,https://www.chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2021/crossovers-suvs/traverse/colorizer/01-images/2021-traverse-2lz-g1w-colorizer.jpg?imwidth=960
9,5250,ford,mpv,2017,  2fmpk3j92hbc12542,https://cars.usnews.com/static/images/Auto/izmo/i159614468/2021_ford_escape_angularfront.jpg
10,10400,dodge,coupe,2009,  2b3lj54t49h509675,https://smartcdn.prod.postmedia.digital/driving/wp-content/uploads/2020/05/chrome-image-411876.png
11,12920,gmc,mpv,2017,  1gks2bkc6hr136280,https://www.gmc.com/content/dam/gmc/na/us/english/index/shared-assets/jellybeans/2021/sierra/sierra-hd/2021-gmc-sierra-3500-denali-hd-hunter-metallic.jpg?imwidth=960
12,31900,chevrolet,1500,2018,  3gcukrec0jg176059,https://www.chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2021/crossovers-suvs/traverse/colorizer/01-images/2021-traverse-2lz-g1w-colorizer.jpg?imwidth=960
